City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,korla,41.7597,86.1469,264.45,59,36,0.94,CN,1674627039
343,mbour,14.422,-16.9638,292.62,72,57,2.59,SN,1674627039
344,general pico,-35.6566,-63.7568,290.1,72,50,3.33,AR,1674627040
345,umm lajj,25.0213,37.2685,294.98,61,0,1.47,SA,1674627040
346,manzhouli,49.6,117.4333,247.3,78,43,1.61,CN,1674626831
347,akureyri,65.6835,-18.0878,273.11,86,40,10.8,IS,1674627042
348,mwinilunga,-11.7358,24.4293,289.97,97,100,3.28,ZM,1674627042
349,husavik,66.0449,-17.3389,273.53,98,100,9.12,IS,1674627042
350,diamantino,-14.4086,-56.4461,294.15,95,81,1.04,BR,1674627043
351,morro bay,35.3658,-120.8499,282.16,86,20,2.84,US,1674626761
352,asosa,10.0667,34.5333,296.24,28,36,1.76,ET,1674627043
353,ardakan,32.31,54.0175,276.19,38,0,1.03,IR,1674627044
354,road town,18.4167,-64.6167,296.2,67,70,7.75,VG,1674627044
355,dalvik,65.9702,-18.5286,273.11,96,99,3.83,IS,1674627044
356,nemuro,43.3236,145.575,263.96,58,68,13.72,JP,1674627045
357,ust-kuyga,70.0167,135.6,223.34,99,91,1.23,RU,1674627045
358,khonsa,27.0167,95.5667,294.76,32,7,2.34,IN,1674627045
359,reutlingen,48.4914,9.2043,275.19,88,97,0.45,DE,1674627046
360,sturgis,41.7992,-85.4192,273.29,98,100,2.57,US,1674627046
361,port hedland,-20.3167,118.5667,310.18,41,48,6.17,AU,1674627047
362,saint anthony,45.0205,-93.218,272.18,89,100,3.09,US,1674627047
363,la macarena,2.1837,-73.7849,294.99,70,64,1.39,CO,1674627048
364,warwick,41.7001,-71.4162,275.32,82,0,2.57,US,1674626827
365,palmas de monte alto,-14.2672,-43.1619,293.67,95,84,0.96,BR,1674627048
366,sirohi,24.8833,72.8667,291.19,32,0,4.54,IN,1674627049
